SentenceID,Sentence,UncertTotal,NumTurkers,Final
1225,You should think about picking up a smaller one.,8,4,2.0
626,I've read so many 9/11 conspiracy theorist threads I'm practically an expert.,5,4,1.25
1735,Perhaps you should realize that the main problem is it sounds like you are attacking Americans and blaming the entire problem of global warming on us and that we are the ones responsible for fixing it.,9,4,2.25
664,I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the 'innocent' and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.,5,4,1.25
4186,We went up with 16/1 and they bit our hands off,4,4,1.0
6482,You can re-post all the points of legitimate contention over and over.,4,4,1.0
135,But I'm not sure the professor knew what 'intellectual' means.,15,4,3.75
4579,Maybe in the past,11,4,2.75
6927,And I was reading an article in Time Magazine a few days after his death..they said that the tape that was retrieved bearing Al-Qaeda's confirmation that Bin laden was dead was found near the compound and had not been verified although it was assumed that it was in fact from Al-Qaeda.,8,4,2.0
7015,I only get it when I've been carrying a bag (not neccessarily heavy),6,4,1.5
3556,There's something about it - New Hampshire seems to vote for somebody other than who won in Iowa.,8,4,2.0
5277,not srsI dare...I dare!!!,4,4,1.0
7092,He has never sent my sister or I a text message,4,4,1.0
22,Its not controversial in the least like the first Zeitgeist film was.,4,4,1.0
7492,She spoke fluent French and all that,5,4,1.25
2529,Would't be shocked if they used nukes either tbhGiven the Israeli mentality I would say we will see them strike Iran.,8,4,2.0
8099,It is time to sweep Newt into the dustbin.,4,4,1.0
0,I guess this is what you wanted me to respond to.,15,5,3.0
7410,seems to be a pretty moderate Republican,10,4,2.5
3899,He took two small papers with declining circulation in a small city in South Australia and built a media empire and made himself on of the wealthiest men in the world.,5,4,1.25
652,I don't expect that movement to end any time soon.,9,4,2.25
6844,So now it is a fight for freedom of choice.,5,5,1.0
4560,It is prohibited in Germany now.,5,5,1.0
509,'Smart' anything is a bit of a reach for him.,6,4,1.5
287,You seem to feel that for these people and I wish you luck.,8,4,2.0
221,So it is indeed possible the air has warmed but the ocean has not.,8,4,2.0
2572,Your husband's friend was right.. he does need to Man up"... he needs to "man up" and take responisibilty for his family.",4,4,1.0
715,You know what - we were possibly over there at the same time,15,5,3.0
5145,Be prepared to be stopped for motoring offences by disgruntled coppers for the next 10 or so years........Make a formal complaint.,6,4,1.5
6447,* Reverse Citizen's United" and put elections back in the hands ofThe People.",4,4,1.0
1049,I am 25 and I am worried then if I ever move out they will be completely lost!,9,4,2.25
7082,My father has undiagnosed Learning Difficulties" and anger issues (he attacked me frequently as a child and broke my arm on one occasion).",4,4,1.0
229,Willis says some of this water is apparently coming from a recent increase in the melting rate of glaciers in Greenland and Antarctica.,8,4,2.0
164,Only six percent of posters will read that entire article.,4,4,1.0
1787,(Graphic from the Washington Post) President Bush expanded the federal budget by a historic $700 billion through 2008.,4,4,1.0
223,That becomes clear when you consider what's happening to global sea level.,5,4,1.25
6713,We had made the news,5,5,1.0
97,The current round of talks were significant for several reasons,6,5,1.2
