'a bit',8,0.625,MD,VB,DT,NN,STOP,might,sound,mean,stop,5,0.6,FALSE,0
'a bit',24,0.5,NNS,VBP,DT,IN,NN,companies,make,of,cash,12,0.8,FALSE,1
'a bit',18,0.5,MD,VB,DT,VBN,RB,may,get,complicated,here,9,1,FALSE,1
'a bit',10,0.1,START,RB,DT,JJR,IN,start,Quite,higher,than,1,1,FALSE,1
'a bit',62,0.387096774,VBP,RB,DT,RBR,JJ,have,quite,more,coming,24,0.8,FALSE,1
'a bit',26,0.115384615,PRP,VBZ,DT,IN,NN,It,'s,off,topic,3,1,FALSE,1
'a bit',13,0.307692308,NN,IN,DT,IN,DT,life,as,of,a,4,0.8,FALSE,1
'a bit',13,0.230769231,VBD,RB,DT,IN,NN,did,quite,of,coverage,3,1,FALSE,1
'a bit',25,0.76,VBG,IN,DT,IN,NN,allowing,for,of,fun,19,0.8,FALSE,1
'a bit',19,0.421052632,VBZ,RB,DT,IN,DT,is,quite,of,a,8,1,FALSE,1
'a bit',34,0.823529412,DT,NN,DT,RBR,JJ,this,offspring,more,problematic,28,1,FALSE,1
'a bit',11,0.272727273,NN,VBZ,DT,IN,DT,anything,is,of,a,3,1,FALSE,1
'a bit',10,0.6,DT,NN,DT,RB,.,the,process,far,.,6,1,FALSE,1
'a bit',27,0.111111111,NN,VBZ,DT,JJR,IN,OH,is,luckier,in,3,1,FALSE,1
'a bit',13,0.153846154,PRP,VBP,DT,JJ,IN,I,'m,worried,that,2,1,FALSE,1
'a bit',8,0.625,PRP$,NNS,DT,RB,STOP,my,feelings,there,stop,5,1,FALSE,1
'a bit',13,0.461538462,TO,VB,DT,IN,DT,to,be,of,a,6,0.8,FALSE,1
'a bit',13,0.615384615,TO,VB,DT,RBR,NN,to,do,more,research,8,1,FALSE,1
'a bit',11,0.181818182,NNS,VBP,DT,IN,NNPS,Moroccans,are,like,Italians,2,0.8,FALSE,1
'a bit',10,0.6,NNS,VBZ,DT,RB,RB,weeks,is,too,long,6,1,FALSE,1
'a bit',7,0.428571429,NN,VBD,DT,JJ,.,teacher,was,surprised,.,3,1,FALSE,1
'a bit',30,0.566666667,VB,VBD,DT,RBR,NN,have,got,more,scrutiny,17,1,FALSE,1
'a bunch',35,0.828571429,RB,VB,DT,IN,NNS,probably,find,of,buttercups,29,1,FALSE,0
'a bunch',26,0.538461538,NN,VBD,DT,IN,JJ,day,sent,of,pro-voucher,14,0.8,FALSE,1
'a bunch',6,0.166666667,START,WP,DT,IN,JJ,start,What,of,lazy,1,1,FALSE,1
'a bunch',24,0.166666667,VBP,RB,DT,IN,VBN,are,just,of,spoiled,4,1,FALSE,1
'a bunch',8,0.125,START,WP,DT,IN,NNS,start,What,of,maroons,1,0.6,FALSE,1
'a bunch',17,0.411764706,VB,IN,DT,IN,NNS,sound,like,of,kids,7,0.6,FALSE,1
'a bunch',24,0.166666667,VBP,RB,DT,IN,VBN,are,just,of,spoiled,4,1,FALSE,1
'a bunch',15,0.466666667,IN,RB,DT,IN,JJ,as,predominately,of,middle,7,1,FALSE,1
'a bunch',7,0.428571429,VBP,PDT,DT,IN,JJ,'re,all,of,uneducated,3,1,FALSE,1
'a bunch',8,0.375,DT,VBP,DT,IN,JJ,all,are,of,hypocritical,3,0.6,FALSE,1
'a bunch',8,0.375,VBP,PDT,DT,IN,VBN,are,all,of,spoiled,3,0.8,FALSE,1
'a bunch',8,0.375,NNS,VBP,DT,IN,NNS,people,are,of,crackpots,3,0.6,FALSE,1
'a couple',12,0.5,IN,IN,DT,CC,NN,that,if,both,work,6,0.6,FALSE,0
'a couple',10,0.6,IN,VBG,DT,RB,.,about,keeping,together,.,6,0.8,FALSE,0
'a couple',10,0.5,JJ,VBD,DT,IN,NNS,mum,died,of,weeks,5,1,FALSE,1
'a couple',28,0.285714286,JJ,IN,DT,IN,NNS,unattached,for,of,years,8,1,FALSE,1
'a couple',15,0.466666667,VB,TO,DT,NNS,VBD,respond,to,things,said,7,1,FALSE,1
'a couple',14,0.214285714,MD,VB,DT,IN,NNS,will,email,of,people,3,1,FALSE,1
'a couple',14,0.642857143,NN,IN,DT,IN,NNS,life,until,of,months,9,1,FALSE,1
'a couple',22,0.227272727,DT,IN,DT,IN,NNS,this,for,of,minutes,5,0.8,FALSE,1
'a couple',11,0.545454545,NN,IN,DT,IN,NNS,life,than,of,men,6,1,FALSE,1
