might,16,0.1875,PRP,RB,MD,RB,VB,they,even,actually,possess,3,1.0,false,1.0
some,29,0.27586206896551724,VBP,VBN,DT,IN,PRP$,have,pinned,of,their,8,0.6,false,0.0
someone,16,0.875,RB,VB,NN,VBZ,STOP,n't,mean,expects,stop,14,1.0,false,1.0
most,20,0.3,IN,DT,RBS,JJ,NNS,of,the,pervasive,forms,6,0.6,false,0.0
some,26,0.6923076923076923,NN,IN,DT,JJ,TO,time,for,local,to,18,0.5,false,0.0
know,23,0.043478260869565216,START,TO,VB,DT,NN,start,To,a,person,1,1.0,false,0.0
much,64,0.03125,PRP,MD,RB,RB,VB,I,would,rather,have,2,1.0,false,0.0
some,6,0.16666666666666666,START,RB,DT,NNS,:,start,Not,criteria,...,1,0.75,false,1.0
most,11,0.45454545454545453,VBN,DT,RBS,JJ,NN,considered,the,conservative,option,5,0.8,false,0.0
'kind of',13,0.38461538461538464,VBN,IN,NN,NN,IN,heard,that,talk,except,5,1.0,false,0.0
know,19,0.2631578947368421,IN,PRP,VBP,JJ,NN,because,I,first,hand,5,0.8,false,0.0
feel,22,0.09090909090909091,UH,PRP,VBP,RB,JJ,Yeah,I,pretty,good,2,0.6,false,0.0
might,16,0.4375,NN,WDT,MD,VB,JJR,thread,that,offer,more,7,1.0,false,1.0
most,10,0.1,START,PRP,RBS,VBD,PRP,start,I,admired,him,1,1.0,false,0.0
find,23,0.34782608695652173,-LRB-,CC,VB,NN,WP,-LRB-,or,someone,who,8,1.0,false,0.0
some,6,0.16666666666666666,START,VB,DT,NNS,IN,start,Give,examples,of,1,0.666666666667,false,0.0
someone,7,0.5714285714285714,CD,VBD,NN,RB,.,830,admired,ELSE,.,4,1.0,false,1.0
really,10,0.9,VB,DT,RB,STOP,STOP,get,a,stop,stop,9,0.8,false,0.0
believe,38,0.05263157894736842,RB,PRP,VBP,PRP,VBZ,Personally,I,it,is,2,1.0,false,1.0
most,9,0.0,START,START,RBS,DT,NN,start,start,every,vet,0,1.0,false,1.0
know,15,0.2,VBP,RB,VB,DT,JJ,do,n't,a,single,3,0.5,true,0.0
some,19,0.5789473684210527,TO,VB,DT,JJ,NN,to,gain,short,term,11,0.75,false,0.0
could,24,0.375,NN,'',MD,VB,DT,constitution,',shed,some,9,0.75,false,1.0
know,13,0.46153846153846156,VBD,RB,VB,PRP,MD,did,n't,I,could,6,0.6,true,1.0
could,18,0.05555555555555555,START,PRP,MD,RB,VB,start,He,never,have,1,0.6,false,0.0
some,21,0.6666666666666666,TO,VB,DT,NNS,IN,to,see,opinions/discussions,of,14,0.5,false,0.0
most,20,0.3,NN,CC,RBS,JJ,NN,debater,and,informed,candidate,6,1.0,false,0.0
some,11,0.7272727272727273,NN,IN,DT,JJ,NN,product,of,social,engineering,8,0.6,false,0.0
find,7,0.7142857142857143,NNP,NNP,VB,JJ,STOP,Budget,AmendmentNice,Oltz,stop,5,1.0,false,0.0
'sort of',44,0.1590909090909091,VB,DT,NN,NN,CC,create,a,panic,and,7,0.8,false,0.0
read,7,0.42857142857142855,VBD,RB,VB,DT,NN,did,n't,any,LBS,3,0.75,true,0.0
someone,10,0.2,CC,IN,NN,WP,VBZ,And,for,who,has,2,0.75,false,0.0
fair,43,0.7441860465116279,VBZ,RB,JJ,CC,VBZ,is,not,and,gives,32,1.0,true,0.0
some,20,0.2,TO,VB,DT,JJ,NN,to,add,female,support,4,1.0,false,0.0
most,17,0.17647058823529413,RB,PRP$,RBS,JJ,JJ,now,their,horrific,terrorist,3,0.8,false,0.0
know,4,0.25,START,PRP,VBP,PRP,VB,start,I,I,know,1,0.75,false,1.0
someone,4,0.25,START,IN,NN,VBD,JJ,start,If,was,smart,1,0.6,false,0.0
'I mean',9,0.0,START,START,PRP,NN,IN,start,start,look,at,0,1.0,false,1.0
feel,6,0.16666666666666666,START,PRP,VBP,RB,DT,start,I,almost,a,1,1.0,false,0.0
know,90,0.2,NN,PRP,VBP,VBN,DT,person,they,committed,the,18,0.75,false,0.0
some,9,0.3333333333333333,VBD,IN,DT,NNS,VBG,faxed,over,materials,supporting,3,0.666666666667,false,1.0
fair,25,0.24,VBP,DT,JJ,NN,POS,want,a,day,'s,6,0.5,false,0.0
could,23,0.5217391304347826,NNS,WDT,MD,RB,VB,assholes,that,not,recognize,12,0.75,false,0.0
'a little',11,0.5454545454545454,NNS,VBP,DT,RBR,JJ,people,are,more,poor,6,1.0,false,1.0
much,12,0.75,VBN,RB,JJ,NN,.,spent,too,money,.,9,0.5,false,0.0
much,16,0.1875,VBZ,DT,RB,RBR,JJ,has,a,more,flexible,3,0.75,false,0.0
know,24,0.7083333333333334,NNS,PRP,VBP,IN,NN,detainees,we,in,advance,17,0.6,false,1.0
really,15,0.6,IN,PRP,RB,VBZ,IN,if,he,believes,in,9,1.0,false,1.0
most,19,0.8947368421052632,RB,DT,RBS,JJ,STOP,actually,the,efficient,stop,17,1.0,false,0.0
really,15,0.13333333333333333,PRP,VBP,RB,RB,JJ,I,am,quite,surprised,2,0.6,false,0.0
some,12,0.3333333333333333,VBP,VBG,DT,NN,JJ,are,paying,guy,minimum,4,0.6,false,0.0
know,23,0.7391304347826086,VBP,RB,VB,DT,NN,do,n't,the,man,17,0.75,true,0.0
most,19,0.5263157894736842,IN,RB,RBS,JJ,IN,by,far,prevalant,in,10,0.6,false,0.0
much,13,0.23076923076923078,VBZ,RB,RB,DT,JJ,'s,as,a,Progressive,3,0.6,false,1.0
know,19,0.5263157894736842,PRP,RB,VBP,WP,PRP,they,always,what,you,10,0.75,false,0.0
find,5,0.4,PRP,RB,VBP,PRP,JJ,I,actually,it,shocking,2,1.0,false,1.0
someone,25,0.24,VBG,WRB,NN,VBZ,DT,clarifying,when,becomes,a,6,0.6,false,1.0
know,12,0.5833333333333334,JJ,PRP,VBP,WRB,PRP,important,I,where,I,7,0.6,false,0.0
know,38,0.15789473684210525,JJ,PRP,VBP,IN,PRP,lucky,I,as,I,6,0.6,false,0.0
some,12,0.3333333333333333,RB,JJ,DT,NNS,CC,indeed,due,thanks,and,4,0.6,false,0.0
read,9,0.4444444444444444,VBP,RB,VB,WP,PRP,do,n't,what,you,4,0.5,true,0.0
could,22,0.045454545454545456,START,PRP,MD,VB,RBR,start,They,care,less,1,0.8,false,0.0
really,16,0.6875,RB,CC,RB,JJ,IN,too,but,upset,for,11,1.0,false,0.0
much,10,0.6,VB,RB,RB,IN,DT,happen,very,at,all,6,0.8,false,1.0
someone,15,0.6,IN,VBG,NN,CC,VBG,without,suing,or,speaking,9,0.5,false,0.0
some,13,0.46153846153846156,VBP,VBN,DT,IN,DT,'ve,missed,of,the,6,0.8,false,1.0
know,6,0.16666666666666666,START,PRP,VBP,WP,PRP,start,We,who,you,1,0.666666666667,false,0.0
most,14,0.5714285714285714,VBP,DT,RBS,JJ,IN,are,the,familiar,at,8,0.5,false,0.0
really,14,0.2857142857142857,RB,VBN,RB,JJ,CC,always,been,insecure,but,4,1.0,false,0.0
